NAME,TYPE,COMMENT,Category,Reason,Sample_Data,ADDR,CLUSTER,CUSTOM,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,DEADBAND,EDITCODE,ENG_FULL,ENG_UNITS,ENG_ZERO,EQUIP,FORMAT,HISTORIAN,ITEM,LINKED,OID,RAW_FULL,RAW_ZERO,REF1,REF2,TAGGENLINK,UNIT,Group,Group_Reason,change_count,change_status
FX_X2CX2_AI27,INT,Ⅱ系列粗选2作业电动阀开度,probable,粗选作业的电动阀开度通常用于调节进料、排矿或液位等关键流体参数，这些流体动力学条件的改变直接决定了泡沫层厚度和精矿回收率，与品位强相关。,暂无采样记录,%MW1010,,,,,,,,,,,,,,,,,,,,,0x000044bb,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选2作业'，属于新2#专线设备,16475,Active
FX_X2CX3_AI1,INT,Ⅱ系列粗选3作业泡沫层厚度实际值,probable,泡沫层厚度直接决定了二次富集效果和铁金属的机械夹带程度，是控制硅含量和铁回收率的核心工艺参数，对最终精矿品位影响极大。,[2025/9/10 14:48:29] 620.0 | [2025/9/10 15:08:19] 621.0 | [2025/9/10 15:08:35] 620.0 | [2025/9/10 15:08:57] 620.0 | [2025/9/10 15:09:11] 620.0 | [2025/9/10 15:09:32] 621.0 | [2025/9/10 15:09:34] 620.0 | [2025/9/10 15:20:18] 620.0 | [2025/9/10 15:21:07] 621.0 | [2025/9/10 15:21:23] 620.0,%MW1011,,,,,,,,,,,,,,,,,,,,,0x000044bc,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,242962,Active
FX_X2CX3_AI2,INT,Ⅱ系列粗选3作业泡沫层厚度设定值显示,probable,泡沫层厚度的设定值反映了操作人员或APC系统试图维持的工艺目标状态，该目标状态的变化直接引导实际泡沫层的改变，影响品位。,暂无采样记录,%MW1012,,,,,,,,,,,,,,,,,,,,,0x000044bd,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,1,LowChange
FX_X2CX3_AI3,INT,Ⅱ系列粗选3作业液位阀1开度实际值,probable,液位阀开度决定了浮选槽尾矿的排料速度，直接影响槽内液位高度和泡沫层厚度，是改变刮泡量和精矿品位的核心控制手段。,[2025/9/10 14:48:29] 100.0 | [2025/9/10 15:47:41] 75.0 | [2025/9/11 17:19:10] 100.0 | [2025/9/11 17:31:58] 73.0 | [2025/9/11 18:30:32] 50.0 | [2025/9/11 18:30:39] 100.0 | [2025/9/11 18:31:00] 75.0 | [2025/9/11 18:49:28] 100.0 | [2025/9/11 18:49:52] 18.0 | [2025/9/11 18:50:01] 100.0,%MW1013,,,,,,,,,,,,,,,,,,,,,0x000044be,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,377,Active
FX_X2CX3_AI4,INT,Ⅱ系列粗选3作业液位阀1开度设定显示,probable,液位阀开度的设定值是控制回路的目标输入，反映了对液位平衡的主动干预，直接关联浮选槽的流体动力学状态。,暂无采样记录,%MW1014,,,,,,,,,,,,,,,,,,,,,0x000044bf,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,185,Active
FX_X2CX3_AI5,INT,Ⅱ系列粗选3作业气量1实际值,probable,充气量大小决定了气泡的表面积和气液混合程度，过大或过小都会破坏泡沫层或导致石英无法有效上浮，是直接影响精矿品位的关键变量。,[2025/9/10 14:55:20] 70.0 | [2025/9/10 14:59:43] 70.0 | [2025/9/10 15:03:16] 71.0 | [2025/9/10 15:03:27] 70.0 | [2025/9/10 15:04:11] 71.0 | [2025/9/10 15:04:14] 70.0 | [2025/9/10 15:08:10] 70.0 | [2025/9/10 15:12:45] 70.0 | [2025/9/10 15:14:02] 70.0 | [2025/9/10 15:16:11] 70.0,%MW1015,,,,,,,,,,,,,,,,,,,,,0x000044c0,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,721656,Active
FX_X2CX3_AI6,INT,Ⅱ系列粗选3作业气量1设定值显示,probable,气量设定值代表了对浮选槽充气强度的工艺期望，决定了实际充气量的控制走向，与品位控制密切相关。,暂无采样记录,%MW1016,,,,,,,,,,,,,,,,,,,,,0x000044c1,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,1,LowChange
FX_X2CX3_AI7,INT,Ⅱ系列粗选3作业蝶阀1开度实际值,probable,蝶阀通常用于控制送风管路的风量或矿浆管路的流量，其开度直接影响浮选气量或液位，进而影响脉石刮出量和精矿品位。,[2025/9/10 14:48:29] 17.0 | [2025/9/11 12:28:00] 16.0 | [2025/9/11 12:32:52] 17.0 | [2025/9/11 12:32:57] 17.0 | [2025/9/11 12:34:20] 17.0 | [2025/9/11 12:48:14] 16.0 | [2025/9/11 12:50:05] 17.0 | [2025/9/11 13:29:15] 19.0 | [2025/9/11 13:29:50] 19.0 | [2025/9/11 13:30:51] 18.0,%MW1017,,,,,,,,,,,,,,,,,,,,,0x000044c2,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,15728,Active
FX_X2CX3_AI8,INT,Ⅱ系列粗选3作业蝶阀1开度设定值显示,probable,蝶阀开度的设定值反映了操作端对充气或流体的调节动作，属于工艺反馈控制回路的一部分，与品位相关。,暂无采样记录,%MW1018,,,,,,,,,,,,,,,,,,,,,0x000044c3,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,15708,Active
FX_X2CX3_AI9,INT,Ⅱ系列粗选3作业气量2实际值,probable,不同区段或不同充气管道的气量实际值直接影响气泡生成及石英等脉石的上浮动力学过程，极其关键。,[2025/9/10 14:48:29] 1.0 | [2025/9/10 15:04:11] 1.0 | [2025/9/10 15:06:41] 1.0 | [2025/9/10 15:13:04] 1.0 | [2025/9/10 15:19:24] 1.0 | [2025/9/10 15:27:13] 1.0 | [2025/9/10 15:30:17] 1.0 | [2025/9/10 15:35:07] 0.0 | [2025/9/10 15:35:11] 1.0 | [2025/9/10 15:45:25] 1.0,%MW1019,,,,,,,,,,,,,,,,,,,,,0x000044c4,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,591946,Active
FX_X2CX3_AI10,INT,Ⅱ系列粗选3作业气量2设定值显示,probable,气量2设定值决定了辅助或第二气路的充气目标，控制浮选槽的充气状态，对刮泡速率和品位有直接影响。,暂无采样记录,%MW1020,,,,,,,,,,,,,,,,,,,,,0x000044c6,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,1,LowChange
FX_X2CX3_AI11,INT,Ⅱ系列粗选3作业蝶阀2开度实际值,probable,蝶阀2开度同样用于调节送风系统或流体管路的状态，决定气量分配，改变流体力学条件，与品位直接相关。,[2025/9/10 14:48:29] 100.0 | [2025/9/11 15:17:12] 8.0 | [2025/9/11 15:17:33] 93.0 | [2025/9/11 15:17:52] 87.0 | [2025/9/11 15:18:09] 82.0 | [2025/9/11 15:18:32] 75.0 | [2025/9/11 15:18:51] 69.0 | [2025/9/11 15:19:12] 63.0 | [2025/9/11 15:19:30] 58.0 | [2025/9/11 15:19:53] 51.0,%MW1021,,,,,,,,,,,,,,,,,,,,,0x000044c7,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,20544,Active
FX_X2CX3_AI12,INT,Ⅱ系列粗选3作业蝶阀2开度设定值显示,probable,蝶阀2开度设定值是工艺调节的重要指令信号，引发气量或流体的变动，进而影响浮选指标。,暂无采样记录,%MW1022,,,,,,,,,,,,,,,,,,,,,0x000044c8,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,20540,Active
FX_X2CX3_AI27,INT,Ⅱ系列粗选3作业电动阀开度,probable,粗选3作业电动阀开度控制着液位或物料流量，直接影响该段的排尾或底流情况，是调控品位的有效手段。,暂无采样记录,%MW1037,,,,,,,,,,,,,,,,,,,,,0x000044d7,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列粗选3作业'，属于新2#专线设备,183035,Active
FX_X2JX_AI1,INT,Ⅱ系列精选作业泡沫层厚度实际值,probable,精选作业是最后把关阶段，其泡沫层厚度直接决定能否有效洗去机械夹杂的石英及提升最终品位，是极重要的工艺参数。,[2025/9/10 14:57:05] 624.0 | [2025/9/10 14:58:35] 624.0 | [2025/9/10 14:58:51] 625.0 | [2025/9/10 14:59:24] 625.0 | [2025/9/10 14:59:41] 624.0 | [2025/9/10 15:00:23] 624.0 | [2025/9/10 15:01:07] 624.0 | [2025/9/10 15:01:25] 624.0 | [2025/9/10 15:01:47] 625.0 | [2025/9/10 15:02:00] 624.0,%MW1038,,,,,,,,,,,,,,,,,,,,,0x000044d8,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,487991,Active
FX_X2JX_AI2,INT,Ⅱ系列精选作业泡沫层厚度设定值显示,probable,精选作业泡沫层厚度设定值体现了对精选段分离效果的工艺干预期望，与最终产品质量紧密挂钩。,暂无采样记录,%MW1039,,,,,,,,,,,,,,,,,,,,,0x000044d9,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,3,LowChange
FX_X2JX_AI3,INT,Ⅱ系列精选作业液位阀1开度实际值,probable,精选作业的液位阀开度直接调控精选槽液位，过高或过低都会显著影响铁金属的回收和石英的剔除，强烈相关。,[2025/9/10 14:48:29] 100.0 | [2025/9/10 15:48:22] 46.0 | [2025/9/10 15:48:36] 3.0 | [2025/9/11 15:12:53] 40.0 | [2025/9/11 15:13:33] 19.0 | [2025/9/11 15:13:50] 71.0 | [2025/9/11 15:13:56] 40.0 | [2025/9/11 17:19:33] 71.0 | [2025/9/11 17:19:52] 17.0 | [2025/9/11 17:20:01] 70.0,%MW1040,,,,,,,,,,,,,,,,,,,,,0x000044db,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,2061,Active
FX_X2JX_AI4,INT,Ⅱ系列精选作业液位阀1开度设定显示,probable,精选液位阀开度设定值是实现精选槽液位稳态控制的目标指令，直接决定工艺走向。,暂无采样记录,%MW1041,,,,,,,,,,,,,,,,,,,,,0x000044dc,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,1144,Active
FX_X2JX_AI5,INT,Ⅱ系列精选作业气量1实际值,probable,精选作业的充气量大小关系到精选段能否提供足够气泡载体刮出剩余脉石，对最终脱硅起决定性作用。,[2025/9/10 14:54:40] 1.0 | [2025/9/10 14:58:16] 2.0 | [2025/9/10 14:58:19] 1.0 | [2025/9/10 15:00:20] 2.0 | [2025/9/10 15:00:22] 1.0 | [2025/9/10 15:00:53] 1.0 | [2025/9/10 15:02:12] 1.0 | [2025/9/10 15:02:28] 1.0 | [2025/9/10 15:07:39] 1.0 | [2025/9/10 15:10:41] 1.0,%MW1042,,,,,,,,,,,,,,,,,,,,,0x000044dd,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,751381,Active
FX_X2JX_AI6,INT,Ⅱ系列精选作业气量1设定值显示,probable,精选气量设定值反映了系统对该作业段充气强度的指令，直接影响实际生成的有效气泡数量。,暂无采样记录,%MW1043,,,,,,,,,,,,,,,,,,,,,0x000044de,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,1,LowChange
FX_X2JX_AI7,INT,Ⅱ系列精选作业蝶阀1开度实际值,probable,精选作业的蝶阀开度是调节风量或流量的执行机构状态，其改变会立刻反映在流体力学边界条件的变化上，影响浮选指标。,[2025/9/10 14:48:29] 100.0 | [2025/9/11 13:25:12] 39.0 | [2025/9/11 13:25:31] 36.0 | [2025/9/11 13:25:52] 27.0 | [2025/9/11 13:26:11] 25.0 | [2025/9/11 13:26:18] 23.0 | [2025/9/11 13:26:52] 21.0 | [2025/9/11 13:27:04] 20.0 | [2025/9/11 13:27:28] 19.0 | [2025/9/11 13:28:21] 18.0,%MW1044,,,,,,,,,,,,,,,,,,,,,0x000044df,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,28392,Active
FX_X2JX_AI8,INT,Ⅱ系列精选作业蝶阀1开度设定值显示,probable,精选作业蝶阀开度设定值表示操作层面上的充气或排料目标，对系统浮选动力学产生前馈性影响。,暂无采样记录,%MW1045,,,,,,,,,,,,,,,,,,,,,0x000044e0,,,,,,FX1_IODev,B,变量名包含'X2'前缀且注释明确为'Ⅱ系列精选作业'，属于新2#专线设备,28357,Active
